"state","puma5","msacmsa","pmsa","stab","msaname","pmsaname","pop2k","afact"
"06","02101","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",126004,1 
"06","02102","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",116435,1 
"06","02103","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",106258,1 
"06","02104","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",149173,1 
"06","02105","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",111307,1 
"06","02106","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",119237,1 
"06","02107","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",108255,1 
"06","02108","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",112147,1 
"06","02201","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",136975,1 
"06","02202","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",107285,1 
"06","02203","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",107054,1 
"06","02204","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",109355,1 
"06","02205","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",105532,1 
"06","02206","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",105194,1 
"06","02207","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",105338,1 
"06","02301","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",140752,1 
"06","02302","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",112191,1 
"06","02303","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",100602,1 
