GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
Id,Id2,Geography,Total:,Male:,Male: - No schooling completed,Male: - Nursery to 4th grade,Male: - 5th and 6th grade,Male: - 7th and 8th grade,Male: - 9th grade,Male: - 10th grade,Male: - 11th grade,"Male: - 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, less than 1 year","Male: - Some college, 1 or more years, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Master's degree,Male: - Professional school degree,Male: - Doctorate degree,Female:,Female: - No schooling completed,Female: - Nursery to 4th grade,Female: - 5th and 6th grade,Female: - 7th and 8th grade,Female: - 9th grade,Female: - 10th grade,Female: - 11th grade,"Female: - 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, less than 1 year","Female: - Some college, 1 or more years, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Master's degree,Female: - Professional school degree,Female: - Doctorate degree
3800000US3320,3320,"Honolulu, HI MSA",579998,285072,3688,2577,4742,5653,4565,4781,4218,8842,79480,16889,45355,21961,54054,16453,7946,3868,294926,5506,3378,8201,8342,6136,4629,3827,8803,81868,16831,44446,23634,55517,17444,4588,1776
3800000US3350,3350,"Houma, LA MSA",119162,57083,1426,1300,2376,4998,2819,2947,2635,1897,19970,2698,5833,1329,4613,1164,786,292,62079,1394,1172,1980,4830,2714,2897,2367,1912,23915,3265,5727,2101,5607,1577,506,115
3800000US3362,3362,"Houston--Galveston--Brazoria, TX CMSA",2858299,1393382,37100,19110,56207,43636,49154,36983,37728,58356,294403,87944,204521,65726,261030,85083,36498,19903,1464917,37351,18427,50957,45038,45795,39580,41078,59314,356014,115663,222295,78209,246338,77458,22394,9006
3800000US3400,3400,"Huntington--Ashland, WV--KY--OH MSA",212766,100105,801,802,1717,6145,3944,4489,3170,3234,38994,6286,11986,3755,8856,3536,1605,785,112661,720,505,1800,7388,4595,5130,3978,3402,40519,8796,13346,6668,9018,5279,1210,307
3800000US3440,3440,"Huntsville, AL MSA",223845,107685,741,602,1459,3086,2830,3321,3172,2743,22945,6222,16354,6252,24238,9812,1902,2006,116160,768,607,1699,3403,3030,3759,3164,3005,30748,9118,18784,6870,21889,7787,937,592
3800000US3480,3480,"Indianapolis, IN MSA",1039892,494784,2920,1754,3675,12978,10679,16756,14038,15579,151153,28768,69337,29508,90271,29126,12439,5803,545108,2501,1278,3637,14265,12211,19745,17792,16862,181067,37696,74610,32432,87526,33147,7593,2746
3800000US3500,3500,"Iowa City, IA MSA",62859,31208,122,5,80,651,258,174,305,527,6464,1557,4200,1990,7557,3508,1707,2103,31651,190,8,55,641,244,213,164,346,5985,1871,4207,2682,8880,3892,1127,1146
3800000US3520,3520,"Jackson, MI MSA",104880,53249,268,142,303,1237,1167,1806,1835,1775,17330,5704,8916,3788,6009,1996,730,243,51631,242,106,163,1204,993,2024,1836,1444,17147,5576,8189,4633,5695,1827,361,191
3800000US3560,3560,"Jackson, MS MSA",271945,124948,1388,818,2039,3812,2887,3938,4438,5524,27874,7298,21652,7224,23016,6877,4495,1668,146997,1306,648,1674,4271,3170,4312,4923,5904,34106,10879,25313,10131,27105,10062,2399,794
3800000US3580,3580,"Jackson, TN MSA",67569,31377,350,314,461,1357,782,1215,1258,1348,9931,2067,4251,1204,4385,1280,782,392,36192,360,181,347,2001,930,1565,1701,1228,11109,2575,5416,2060,4475,1799,323,122
3800000US3600,3600,"Jacksonville, FL MSA",715155,339426,2387,1279,2670,7678,6749,10732,9863,13605,94394,27360,53660,24307,56032,17417,8397,2896,375729,2290,1345,3134,8847,8213,12012,11568,14696,113987,34349,56800,29674,54713,17670,4853,1578
3800000US3605,3605,"Jacksonville, NC MSA",75286,37564,303,112,401,828,923,1057,716,839,12586,4401,7125,2656,3883,1081,511,142,37722,317,142,342,1198,1010,1221,1318,1077,12125,3958,6069,3441,3887,1275,277,65
3800000US3610,3610,"Jamestown, NY MSA",91261,43335,324,162,407,1662,1224,1721,1424,1812,16092,3152,4415,3651,4324,1935,722,308,47926,416,130,293,1761,1230,1602,1488,1510,17210,3540,5597,4977,4564,2818,621,169
